"text","book","chapter"
"THE BOY WHO LIVED  Mr. and Mrs. Dursley, of number","Book 1: Philosopher's Stone","chap-1"
"four, Privet Drive, were proud to say that they were perfectly normal,","Book 1: Philosopher's Stone","chap-1"
"thank you very much. They were the last people you'd expect to","Book 1: Philosopher's Stone","chap-1"
"be involved in anything strange or mysterious, because they just didn't hold","Book 1: Philosopher's Stone","chap-1"
"with such nonsense.  Mr. Dursley was the director of a firm","Book 1: Philosopher's Stone","chap-1"
"called Grunnings, which made drills. He was a big, beefy man with","Book 1: Philosopher's Stone","chap-1"
"hardly any neck, although he did have a very large mustache. Mrs.","Book 1: Philosopher's Stone","chap-1"
"Dursley was thin and blonde and had nearly twice the usual amount","Book 1: Philosopher's Stone","chap-1"
"of neck, which came in very useful as she spent so much","Book 1: Philosopher's Stone","chap-1"
"of her time craning over garden fences, spying on the neighbors. The","Book 1: Philosopher's Stone","chap-1"
"Dursleys had a small son called Dudley and in their opinion there","Book 1: Philosopher's Stone","chap-1"
"was no finer boy anywhere.  The Dursleys had everything they wanted,","Book 1: Philosopher's Stone","chap-1"
"but they also had a secret, and their greatest fear was that","Book 1: Philosopher's Stone","chap-1"
"somebody would discover it. They didn't think they could bear it if","Book 1: Philosopher's Stone","chap-1"
"anyone found out about the Potters. Mrs. Potter was Mrs. Dursley's sister,","Book 1: Philosopher's Stone","chap-1"
"but they hadn't met for several years; in fact, Mrs. Dursley pretended","Book 1: Philosopher's Stone","chap-1"
"she didn't have a sister, because her sister and her good-for-nothing husband","Book 1: Philosopher's Stone","chap-1"
"were as unDursleyish as it was possible to be. The Dursleys shuddered","Book 1: Philosopher's Stone","chap-1"
"to think what the neighbors would say if the Potters arrived in","Book 1: Philosopher's Stone","chap-1"
"the street. The Dursleys knew that the Potters had a small son,","Book 1: Philosopher's Stone","chap-1"
"too, but they had never even seen him. This boy was another","Book 1: Philosopher's Stone","chap-1"
"good reason for keeping the Potters away; they didn't want Dudley mixing","Book 1: Philosopher's Stone","chap-1"
"with a child like that.  When Mr. and Mrs. Dursley woke","Book 1: Philosopher's Stone","chap-1"
"up on the dull, gray Tuesday our story starts, there was nothing","Book 1: Philosopher's Stone","chap-1"
"about the cloudy sky outside to suggest that strange and mysterious things","Book 1: Philosopher's Stone","chap-1"
"would soon be happening all over the country. Mr. Dursley hummed as","Book 1: Philosopher's Stone","chap-1"
"he picked out his most boring tie for work, and Mrs. Dursley","Book 1: Philosopher's Stone","chap-1"
"gossiped away happily as she wrestled a screaming Dudley into his high","Book 1: Philosopher's Stone","chap-1"
"chair.  None of them noticed a large, tawny owl flutter past","Book 1: Philosopher's Stone","chap-1"
"the window.  At half past eight, Mr. Dursley picked up his","Book 1: Philosopher's Stone","chap-1"
"briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley","Book 1: Philosopher's Stone","chap-1"
"good-bye but missed, because Dudley was now having a tantrum and throwing","Book 1: Philosopher's Stone","chap-1"
"his cereal at the walls. `Little tyke,` chortled Mr. Dursley as he","Book 1: Philosopher's Stone","chap-1"
"left the house. He got into his car and backed out of","Book 1: Philosopher's Stone","chap-1"
